image_id,species,breed,age,sex,class,group,weight,shoulder_height,chest_size,BCS,neck_size,back_length,exercise,food_count,food_amount,snack_amount
cat_aug_0,20,cat_ETC,4.9,IM,UK,ML,4.6,39.1,38.7,5,29.8,36.7,3,4,0.58,20.0
cat_aug_1,20,cat_ETC,5.4,CM,SH,SL,4.9,21.2,36.0,3,19.7,40.4,1,2,1.25,20.0
cat_aug_2,20,cat_RUS,3.0,CM,UK,ML,5.1,18.0,36.2,2,21.3,33.4,3,4,0.66,0.6
cat_aug_3,20,cat_ETC,4.7,SF,LH,ML,4.1,26.2,29.5,4,16.8,33.1,3,4,0.62,19.9
cat_aug_4,20,cat_ETC,4.1,SF,LH,SL,2.4,17.1,28.6,4,16.3,30.2,2,4,0.83,20.0
cat_aug_5,20,cat_ETC,5.2,CM,UK,SS,4.7,23.0,43.4,5,27.1,42.5,3,2,1.45,20.0
cat_aug_6,20,cat_ETC,3.0,CM,LH,SL,4.1,28.2,36.6,5,19.2,28.6,2,2,1.06,20.0
cat_aug_7,20,cat_ETC,5.6,CM,LH,MS,7.6,29.8,47.5,6,23.0,39.4,3,2,0.86,3.3
cat_aug_8,20,cat_ETC,1.0,SF,UK,SS,4.9,38.8,34.3,4,36.1,47.6,3,2,0.87,20.0
cat_aug_9,20,cat_ETC,3.7,CM,UK,SS,5.0,18.6,37.2,5,23.0,29.6,2,2,0.5,20.0
cat_aug_10,20,cat_SIA,8.6,SF,SH,SL,7.7,29.8,46.0,7,24.3,34.3,1,4,0.91,8.4
cat_aug_11,20,cat_PER,6.6,SF,LH,SL,3.5,28.8,33.5,4,26.2,29.1,3,4,0.53,6.9
cat_aug_12,20,cat_ETC,4.7,SF,LH,SL,2.7,15.8,27.0,4,16.0,24.5,2,2,1.45,19.5
cat_aug_13,20,cat_TUR,2.3,SF,LH,SL,2.6,21.4,27.3,4,17.3,43.5,1,2,1.04,15.0
cat_aug_14,20,cat_TUR,6.5,SF,LH,SL,6.4,27.7,37.8,4,23.3,39.6,2,2,1.05,20.0
cat_aug_15,20,cat_ETC,8.9,CM,LH,SL,3.0,27.8,38.5,4,29.5,27.8,3,2,0.6,20.0
cat_aug_16,20,cat_ETC,0.8,SF,UK,SL,4.1,23.7,30.2,4,24.7,29.0,2,2,0.55,18.1
cat_aug_17,20,cat_ETC,2.9,SF,UK,ML,5.5,20.4,35.5,3,22.8,31.2,3,4,0.61,7.6
cat_aug_18,20,cat_ETC,3.0,CM,UK,ML,6.5,22.3,40.9,4,24.6,35.8,3,4,0.6,20.0
cat_aug_19,20,cat_ETC,3.1,SF,LH,ML,5.1,25.8,41.5,4,32.9,41.7,3,2,0.79,20.0
cat_aug_20,20,cat_TUR,2.7,CM,LH,SS,3.2,22.9,25.9,4,20.2,25.2,3,2,0.8,20.0
cat_aug_21,20,cat_ETC,1.9,SF,LH,ML,4.3,23.5,31.3,4,24.1,31.4,3,2,0.55,19.7
cat_aug_22,20,cat_ETC,0.6,IF,LH,MS,2.5,18.2,25.5,4,22.0,27.0,3,2,1.0,20.0
cat_aug_23,20,cat_RUS,1.5,SF,LH,ML,3.9,15.8,31.7,4,23.5,32.7,3,4,0.9,19.9
cat_aug_24,20,cat_ETC,4.9,SF,UK,SL,4.4,24.7,39.7,4,22.3,34.0,3,4,1.04,19.6
cat_aug_25,20,cat_ETC,4.3,SF,LH,ML,5.1,40.1,42.1,4,33.0,50.7,3,2,0.51,20.0
cat_aug_26,20,cat_KOR,4.6,SF,LH,ML,3.1,19.1,25.9,6,23.7,29.4,1,2,2.06,20.0
cat_aug_27,20,cat_KOR,9.9,CM,UK,SS,8.6,23.5,45.6,6,31.0,46.4,2,3,0.85,20.0
cat_aug_28,20,cat_PER,3.1,CM,LH,SS,7.8,23.5,44.8,9,25.8,49.5,1,2,1.57,19.6
cat_aug_29,20,cat_RUS,6.5,CM,UK,SS,8.9,33.6,55.7,9,25.7,46.9,1,4,1.75,0.0
cat_aug_30,20,cat_TUR,4.6,SF,LH,SL,3.2,21.1,28.4,4,23.7,23.4,3,4,0.76,19.9
cat_aug_31,20,cat_KOR,4.7,CM,LH,SS,5.1,26.0,40.4,5,27.5,26.5,2,4,0.7,19.6
cat_aug_32,20,cat_TUR,7.5,CM,SH,ML,6.2,28.3,37.5,3,23.1,44.0,1,4,0.9,9.6
cat_aug_33,20,cat_TUR,8.9,SF,LH,SL,2.8,17.7,31.4,6,19.8,25.0,2,4,0.64,13.6
cat_aug_34,20,cat_KOR,6.5,IF,UK,ML,7.7,40.1,48.0,6,33.1,41.1,2,4,0.75,5.1
cat_aug_35,20,cat_KOR,1.4,CM,UK,ML,8.2,41.6,43.4,5,29.8,44.1,3,4,0.72,19.7
cat_aug_36,20,cat_SIA,5.7,IM,LH,SL,4.2,18.4,33.0,4,23.0,31.3,3,2,0.62,20.0
cat_aug_37,20,cat_KOR,5.7,SF,UK,SS,4.7,42.1,35.9,4,28.6,37.2,2,4,0.7,20.0
cat_aug_38,20,cat_ETC,4.2,SF,SH,ML,4.1,21.7,41.8,5,32.8,37.0,3,4,0.81,20.0
cat_aug_39,20,cat_TUR,11.7,SF,LH,SL,2.6,18.8,33.6,7,19.2,33.2,1,2,0.51,2.1
cat_aug_40,20,cat_PER,4.1,CM,LH,ML,4.0,33.8,31.6,4,25.2,48.4,2,2,0.82,19.7
cat_aug_41,20,cat_KOR,2.0,CM,LH,SL,2.3,17.6,25.0,4,18.8,21.8,3,2,0.81,19.7
cat_aug_42,20,cat_ETC,3.7,CM,LH,MS,4.5,32.5,34.3,4,26.5,38.7,3,2,0.86,16.5
cat_aug_43,20,cat_ETC,5.9,SF,LH,ML,3.0,34.4,33.4,6,25.4,38.1,2,2,1.04,20.0
cat_aug_44,20,cat_KOR,10.8,SF,LH,ML,5.8,19.6,40.9,7,25.1,28.6,2,4,2.01,4.7
cat_aug_45,20,cat_KOR,1.0,SF,LH,SS,4.8,24.1,31.6,4,23.1,33.7,3,2,1.54,20.0
cat_aug_46,20,cat_ETC,0.8,CM,SH,ML,5.3,18.2,30.0,4,23.2,23.3,3,2,0.56,15.1
cat_aug_47,20,cat_KOR,4.8,SF,UK,ML,5.9,30.4,34.7,4,22.0,43.6,3,3,0.63,18.2
cat_aug_48,20,cat_SCO,2.1,SF,LH,SL,3.7,19.9,30.8,4,16.3,29.3,3,2,0.54,0.0
cat_aug_49,20,cat_RUS,2.0,IF,LH,SL,5.3,22.1,42.1,5,25.4,40.8,2,2,0.58,4.1
cat_aug_50,20,cat_ETC,0.0,SF,LH,MS,3.8,20.7,27.6,4,24.2,33.8,3,2,0.97,19.3
cat_aug_51,20,cat_KOR,9.9,IF,UK,SS,6.6,18.4,46.0,3,23.0,36.3,1,2,1.02,4.1
cat_aug_52,20,cat_ETC,2.2,SF,UK,ML,3.8,24.7,27.9,4,21.6,36.5,3,2,0.77,20.0
cat_aug_53,20,cat_ETC,5.9,IM,LH,SL,2.4,20.5,30.2,4,20.1,26.3,3,4,0.67,8.2
cat_aug_54,20,cat_PER,7.7,SF,LH,SL,2.9,13.6,29.8,5,22.4,22.7,2,4,1.15,0.6
cat_aug_55,20,cat_KOR,5.8,CM,UK,SS,7.3,17.7,39.0,5,20.7,28.0,3,2,0.55,1.2
cat_aug_56,20,cat_ETC,5.7,SF,LH,SL,2.1,13.6,28.1,4,17.3,20.4,3,2,0.52,20.0
cat_aug_57,20,cat_ETC,5.3,CM,LH,SL,4.0,16.0,35.1,4,20.1,22.2,3,2,1.07,19.4
cat_aug_58,20,cat_ETC,0.5,SF,SH,SL,4.2,22.1,32.7,4,20.6,38.3,3,2,0.51,20.0
cat_aug_59,20,cat_ETC,1.7,CM,LH,SL,4.7,35.4,34.1,4,21.5,41.5,3,2,0.55,20.0
cat_aug_60,20,cat_ETC,3.5,SF,LH,SL,3.9,38.5,33.7,4,28.8,47.0,3,2,0.59,20.0
cat_aug_61,20,cat_ETC,9.2,SF,SH,SS,2.9,29.4,31.8,4,22.6,31.3,3,2,1.69,20.0
cat_aug_62,20,cat_SIA,5.3,SF,LH,SL,3.9,27.9,36.4,4,27.6,31.5,3,2,0.56,20.0
cat_aug_63,20,cat_KOR,7.6,CM,UK,ML,5.6,18.3,37.5,3,16.0,31.7,1,4,1.38,5.6
cat_aug_64,20,cat_SCO,4.5,CM,LH,SL,4.0,24.2,33.2,5,19.6,39.2,1,4,0.89,0.9
cat_aug_65,20,cat_KOR,3.6,CM,UK,ML,4.9,16.1,33.2,4,18.7,39.1,3,2,1.54,20.0
